subregion,country,region,period.num,period,industry,site,unit,site.unit,BP.cal.median,C14.mean,C14.SD,C14.CV,calib.curve,sample.id,longitude,latitude,material,delta 13,method and id,citation,source,comments
N Central,France,Languedoc-Rouissillon,4,Holocene,Magdalenian,Conques,layer 3 square D27,Conques layer 3 square D27,9855,8780,120,0.0137,intcal13,Gif-3753,2.6743,42.8868,NA,NA,NA,NA,PANCEA,too young
Southeast,Italy,NA,3,End Glacial,"Early Mesolithic? Late Palaeolithic, Sauveterrian",Continenza,24-28,Continenza 24-28,11034,9680,100,0.0103,intcal13,R-556,13.5333,41.9500,?,NA,"Conv 14C, 6298","Martini, Tozzi, 1996. Serradimigni, 2013",Leuven,NA
Southeast,Italy,NA,3,End Glacial,Early Mesolithic,Continenza,27 D-2,Continenza 27 D-2,10955,9650,100,0.0104,intcal13,R-555,13.5333,41.9500,?,NA,"Conv 14C, 6297","Martini, Tozzi, 1996",Leuven,NA
Southeast,Italy,NA,3,End Glacial,Terminal Epigravettian,Continenza,31-34,Continenza 31-34,10984,9680,75,0.0077,intcal13,Rome-1194,13.5333,41.9500,NA,NA,"Conv 14C, 7958",NA,Leuven,NA
Southeast,Italy,NA,3,End Glacial,Final Epigravettian,Continenza,32,Continenza 32,11956,10280,110,0.0107,intcal13,R-557,13.5333,41.9500,NA,NA,"Conv 14C, 6375",Palma di Cesnola A.. 1996. Eraul: 305-317.,Leuven,NA
Southeast,Italy,NA,3,End Glacial,"Late Upper Palaeolithic, Final Epigravettian",Continenza,34-35,Continenza 34-35,11909,10230,100,0.0098,intcal13,R-558,13.5333,41.9500,?,NA,"Conv 14C, 6309","Martini, Tozzi, 1996",Leuven,NA
Southeast,Italy,NA,2,Late Pleniglacial,Recent epigravettian,Continenza,35-44,Continenza 35-44,14536,12381,60,0.0048,intcal13,LTL-1249a,13.5333,41.9500,NA,?,"AMS, 7404","Serradimigni, 2013",Leuven,NA
Southeast,Italy,NA,2,Late Pleniglacial,Recent epigravettian,Continenza,35-44,Continenza 35-44,14490,12353,60,0.0049,intcal13,LTL-6188a,13.5333,41.9500,NA,?,"AMS, 7403","Serradimigni, 2013",Leuven,NA
Southeast,Italy,NA,3,End Glacial,Recent epigravettian,Continenza,35-44,Continenza 35-44,13540,11725,65,0.0055,intcal13,LYON-1663/OxA,13.5333,41.9500,NA,?,"AMS, 7401","Serradimigni, 2013",Leuven,NA
Southeast,Italy,NA,3,End Glacial,Recent epigravettian,Continenza,35-44,Continenza 35-44,13820,11983,80,0.0067,intcal13,LTL-1250a,13.5333,41.9500,NA,?,"AMS, 7402","Serradimigni, 2013",Leuven,NA
Southeast,Italy,NA,3,End Glacial,Recent epigravettian,Continenza,35-44,Continenza 35-44,13413,11560,100,0.0087,intcal13,Ly-10754,13.5333,41.9500,NA,NA,"Conv 14C, 7956","Serradimigni, 2013",Leuven,NA
Southeast,Italy,NA,3,End Glacial,Recent epigravettian,Continenza,35-44,Continenza 35-44,13386,11500,100,0.0087,intcal13,Rome-1198,13.5333,41.9500,NA,NA,"Conv 14C, 7955","Serradimigni, 2013",Leuven,NA
Southeast,Italy,NA,3,End Glacial,Recent epigravettian,Continenza,35-44,Continenza 35-44,13697,11830,110,0.0093,intcal13,Ly-10755,13.5333,41.9500,NA,NA,"Conv 14C, 7957","Serradimigni, 2013",Leuven,NA
Southeast,Italy,NA,3,End Glacial,Recent epigravettian,Continenza,35-44,Continenza 35-44,12562,10760,140,0.013,intcal13,Ly-10753,13.5333,41.9500,NA,NA,"Conv 14C, 7954","Serradimigni, 2013",Leuven,NA
Southeast,Italy,NA,2,Late Pleniglacial,Recent Epigravettian,Continenza,45,Continenza 45,15473,12937,50,0.0039,intcal13,LTL-6187a,13.5333,41.9500,NA,NA,"TL, 981","Serradimigni, 2013",Leuven,NA
Southeast,Italy,NA,3,End Glacial,Early Mesolithic,Corbeddu,?,Corbeddu,11318,9820,140,0.0143,intcal13,UtC-14/237,9.4000,40.2667,charcoal,?,"AMS, 2734","Pluciennik, 1997",Leuven,NA
Southeast,Italy,Sardinia,3,End Glacial,unspec.,Cordeddu,NA,Cordeddu,10564,9220,370,0.0401,intcal13,GrN-11436,9.4000,40.2700,NA,NA,NA,NA,PANCEA,NA
Southeast,Italy,Sardinia,3,End Glacial,unspec.,Cordeddu,NA,Cordeddu,10466,9120,380,0.0417,intcal13,GrN-11434,9.4000,40.2700,NA,NA,NA,NA,PANCEA,NA
Southeast,Italy,NA,2,Late Pleniglacial,unspecified,Cordeddu,3B,Cordeddu 3B,16420,13590,140,0.0103,intcal13,GrN-11405,9.4000,40.2700,NA,NA,"Conv 14C, 7223",NA,Leuven,NA
N Central,France,NA,3,End Glacial,Romanellian.,Cornille,10c,Cornille 10,12136,10540,310,0.0294,intcal13,Ly-510,4.9833,43.5167,terre ch,NA,"Conv 14C, 538",NA,Leuven,NA
N Central,France,NA,3,End Glacial,Romanellian.,Cornille,10a,Cornille 10,12491,10870,320,0.0294,intcal13,Ly-427,4.9833,43.5167,terre ch,NA,"Conv 14C, 537",NA,Leuven,NA
N Central,France,NA,3,End Glacial,Romanellian.,Cornille,12,Cornille 12,12714,10920,210,0.0192,intcal13,Ly-449,4.9833,43.5167,terre ch,NA,"Conv 14C, 539",NA,Leuven,NA
