subregion,country,region,period.num,period,industry,site.id,site,unit,site.unit,BP.cal.median,lithics.total,debris,cores,retouched,retouch.freq,backed,backed.freq,bonetools,bonetool.freq,portability,NISP,large.herbivore,small.herbivore,carnivore,lg.herbivore.index,elevation,distcoast.modern,distcoast.contemp,longitude,latitude,macro.retouch.freq
N Central,France,Provence,4,Holocene,Mesolithic,39,Les Agnels,bc,Les Agnels bc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,4,13,3,0.235,229,57.53,58.18,5.3954,43.8764,NA
N Central,France,Provence,4,Holocene,Mesolithic,39,Les Agnels,scb,Les Agnels scb,9090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,917,4,26,1,0.133,229,57.53,58.18,5.3954,43.8764,NA
N Central,France,Provence,4,Holocene,Mesolithic,39,Les Agnels,sgc,Les Agnels sgc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,2,6,1,0.250,229,57.53,58.18,5.3954,43.8764,NA
N Central,France,Provence,4,Holocene,Mesolithic,39,Les Agnels,sgcl,Les Agnels sgcl,8951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,3,6,1,0.333,229,57.53,58.18,5.3954,43.8764,NA
N Central,France,Languedoc,2,Late Pleniglacial,Middle Magdalenian,11,Les Conques,3,Les Conques 3,17150,283,233,2,50,0.177,24,0.085,6,0.021,0.600,102,101,NA,1,NA,55,12.71,34.02,2.8300,42.7600,0.092
Southeast,Italy,Central Italy,4,Holocene,Mesolithic (Sauveterriano),118,Levane-Bandella,,Levane-Bandella,NA,3441,3178,18,222,0.065,52,NA,NA,0.000,NA,NA,NA,NA,NA,NA,178,95.52,98.97,11.6606,43.5101,NA
N Central,Spain,NE Spain,4,Holocene,Mesolithic,84,Los Baños,"phaseA, 2b3 generico, 2b3inf, 2b3sup","Los Baños phase A, 2b3 generico, 2b3inf, 2b3sup",8374,806,8,NA,98,0.122,27,0.033,NA,NA,NA,591,59,42,0,0.584,586,108.06,112.92,-0.5823,41.0369,0.088
Northeast,Italy,N Italy,4,Holocene,Recent Mesolithic (Castelnoviano),92,Madonna di Campiano,,Madonna di Campiano,NA,100,80,5,15,0.150,2,NA,NA,0.000,NA,NA,NA,NA,NA,NA,180,73.28,76.53,10.7208,44.5033,NA
N Central,Spain,NE Spain,4,Holocene,Epipaleolithic attached to notches and denticulates,68,Marge del Moro,,Marge del Moro,9761,1827,NA,NA,203,0.111,74,0.041,NA,NA,NA,NA,NA,NA,NA,NA,372,7.57,8.34,1.9225,41.3309,0.071
Southwest,Spain,S&E Spain,4,Holocene,Mesolithic,83,Mas Cremat,"VI, VI","Mas Cremat VI, VI",7640,1165,NA,10,133,0.114,56,0.048,0,0.000,0.421,3920,645,28,10,0.958,1227,54.57,57.23,-0.2796,40.5065,0.066
Southwest,Spain,NE Spain,2,Late Pleniglacial,Magdalenian,56,Matutano,Pit 1  level Ia-b,Matutano Pit 1  level Ia-b,14238,6188,NA,NA,1084,0.175,83,0.013,1,0.000,0.077,4454,1147,3177,9,0.265,306,12.35,41.92,-0.0500,40.1145,0.162
Southwest,Spain,NE Spain,2,Late Pleniglacial,Magdalenian,56,Matutano,Pit 1  level II-IV,Matutano Pit 1  level II-IV,NA,7054,NA,NA,830,0.118,76,0.011,33,0.005,0.131,17306,863,16302,17,0.050,306,12.35,41.92,-0.0500,40.1145,0.107
N Central,Spain,NE Spain,2,Late Pleniglacial,Upper Magdalenian,61,Molí del Salt,rank1,Molí del Salt rank1,14680,853,NA,NA,114,0.134,55,0.064,0,0.000,0.482,NA,NA,NA,NA,NA,478,35.76,44.39,1.0534,41.4015,0.069
